Vardas              Pavarde             Galutinis(vid)      
_______________________________________________________
Vardas608           Pavarde608          1.40                
Vardas226           Pavarde226          1.53                
Vardas149           Pavarde149          1.67                
Vardas211           Pavarde211          1.67                
Vardas189           Pavarde189          1.67                
Vardas389           Pavarde389          1.67                
Vardas492           Pavarde492          1.73                
Vardas115           Pavarde115          1.80                
Vardas412           Pavarde412          1.87                
Vardas37            Pavarde37           1.93                
Vardas659           Pavarde659          1.93                
Vardas323           Pavarde323          1.93                
Vardas740           Pavarde740          1.93                
Vardas473           Pavarde473          1.93                
Vardas406           Pavarde406          2.00                
Vardas942           Pavarde942          2.00                
Vardas143           Pavarde143          2.07                
Vardas344           Pavarde344          2.07                
Vardas643           Pavarde643          2.07                
Vardas124           Pavarde124          2.07                
Vardas0             Pavarde0            2.07                
Vardas738           Pavarde738          2.07                
Vardas140           Pavarde140          2.13                
Vardas970           Pavarde970          2.13                
Vardas734           Pavarde734          2.20                
Vardas906           Pavarde906          2.20                
Vardas704           Pavarde704          2.20                
Vardas821           Pavarde821          2.20                
Vardas417           Pavarde417          2.20                
Vardas147           Pavarde147          2.20                
Vardas856           Pavarde856          2.20                
Vardas557           Pavarde557          2.20                
Vardas234           Pavarde234          2.27                
Vardas770           Pavarde770          2.27                
Vardas97            Pavarde97           2.27                
Vardas843           Pavarde843          2.27                
Vardas769           Pavarde769          2.27                
Vardas466           Pavarde466          2.33                
Vardas653           Pavarde653          2.33                
Vardas979           Pavarde979          2.33                
Vardas958           Pavarde958          2.33                
Vardas830           Pavarde830          2.33                
Vardas954           Pavarde954          2.33                
Vardas612           Pavarde612          2.40                
Vardas498           Pavarde498          2.40                
Vardas173           Pavarde173          2.40                
Vardas404           Pavarde404          2.40                
Vardas439           Pavarde439          2.40                
Vardas99            Pavarde99           2.47                
Vardas628           Pavarde628          2.47                
Vardas534           Pavarde534          2.47                
Vardas539           Pavarde539          2.47                
Vardas12            Pavarde12           2.47                
Vardas183           Pavarde183          2.47                
Vardas778           Pavarde778          2.53                
Vardas261           Pavarde261          2.53                
Vardas49            Pavarde49           2.53                
Vardas198           Pavarde198          2.53                
Vardas41            Pavarde41           2.60                
Vardas229           Pavarde229          2.60                
Vardas937           Pavarde937          2.60                
Vardas79            Pavarde79           2.60                
Vardas230           Pavarde230          2.60                
Vardas519           Pavarde519          2.60                
Vardas804           Pavarde804          2.67                
Vardas318           Pavarde318          2.67                
Vardas335           Pavarde335          2.73                
Vardas233           Pavarde233          2.73                
Vardas805           Pavarde805          2.73                
Vardas945           Pavarde945          2.73                
Vardas514           Pavarde514          2.73                
Vardas2             Pavarde2            2.73                
Vardas982           Pavarde982          2.73                
Vardas302           Pavarde302          2.80                
Vardas933           Pavarde933          2.80                
Vardas279           Pavarde279          2.80                
Vardas665           Pavarde665          2.87                
Vardas503           Pavarde503          2.87                
Vardas818           Pavarde818          2.87                
Vardas191           Pavarde191          2.87                
Vardas537           Pavarde537          2.87                
Vardas386           Pavarde386          2.87                
Vardas559           Pavarde559          2.87                
Vardas873           Pavarde873          2.87                
Vardas671           Pavarde671          2.87                
Vardas700           Pavarde700          2.87                
Vardas814           Pavarde814          2.93                
Vardas70            Pavarde70           2.93                
Vardas265           Pavarde265          2.93                
Vardas280           Pavarde280          2.93                
Vardas379           Pavarde379          3.00                
Vardas388           Pavarde388          3.00                
Vardas320           Pavarde320          3.00                
Vardas527           Pavarde527          3.00                
Vardas273           Pavarde273          3.00                
Vardas513           Pavarde513          3.00                
Vardas577           Pavarde577          3.00                
Vardas923           Pavarde923          3.00                
Vardas885           Pavarde885          3.07                
Vardas135           Pavarde135          3.07                
Vardas871           Pavarde871          3.07                
Vardas897           Pavarde897          3.07                
Vardas295           Pavarde295          3.07                
Vardas981           Pavarde981          3.13                
Vardas184           Pavarde184          3.13                
Vardas272           Pavarde272          3.13                
Vardas600           Pavarde600          3.13                
Vardas651           Pavarde651          3.13                
Vardas825           Pavarde825          3.13                
Vardas727           Pavarde727          3.13                
Vardas305           Pavarde305          3.13                
Vardas490           Pavarde490          3.13                
Vardas540           Pavarde540          3.13                
Vardas243           Pavarde243          3.20                
Vardas66            Pavarde66           3.20                
Vardas584           Pavarde584          3.20                
Vardas22            Pavarde22           3.20                
Vardas288           Pavarde288          3.20                
Vardas131           Pavarde131          3.20                
Vardas425           Pavarde425          3.20                
Vardas991           Pavarde991          3.20                
Vardas98            Pavarde98           3.20                
Vardas45            Pavarde45           3.20                
Vardas213           Pavarde213          3.20                
Vardas219           Pavarde219          3.20                
Vardas165           Pavarde165          3.20                
Vardas238           Pavarde238          3.20                
Vardas996           Pavarde996          3.27                
Vardas151           Pavarde151          3.27                
Vardas170           Pavarde170          3.27                
Vardas948           Pavarde948          3.27                
Vardas54            Pavarde54           3.27                
Vardas966           Pavarde966          3.27                
Vardas737           Pavarde737          3.33                
Vardas269           Pavarde269          3.33                
Vardas384           Pavarde384          3.33                
Vardas395           Pavarde395          3.33                
Vardas603           Pavarde603          3.33                
Vardas667           Pavarde667          3.33                
Vardas382           Pavarde382          3.33                
Vardas597           Pavarde597          3.33                
Vardas850           Pavarde850          3.33                
Vardas467           Pavarde467          3.33                
Vardas336           Pavarde336          3.33                
Vardas609           Pavarde609          3.40                
Vardas748           Pavarde748          3.40                
Vardas604           Pavarde604          3.40                
Vardas673           Pavarde673          3.40                
Vardas874           Pavarde874          3.40                
Vardas574           Pavarde574          3.40                
Vardas729           Pavarde729          3.40                
Vardas824           Pavarde824          3.40                
Vardas457           Pavarde457          3.40                
Vardas583           Pavarde583          3.40                
Vardas708           Pavarde708          3.40                
Vardas842           Pavarde842          3.40                
Vardas699           Pavarde699          3.47                
Vardas732           Pavarde732          3.47                
Vardas142           Pavarde142          3.47                
Vardas396           Pavarde396          3.47                
Vardas73            Pavarde73           3.47                
Vardas547           Pavarde547          3.47                
Vardas546           Pavarde546          3.47                
Vardas283           Pavarde283          3.47                
Vardas144           Pavarde144          3.47                
Vardas520           Pavarde520          3.47                
Vardas973           Pavarde973          3.53                
Vardas209           Pavarde209          3.53                
Vardas739           Pavarde739          3.53                
Vardas685           Pavarde685          3.53                
Vardas74            Pavarde74           3.53                
Vardas433           Pavarde433          3.53                
Vardas440           Pavarde440          3.53                
Vardas582           Pavarde582          3.53                
Vardas859           Pavarde859          3.53                
Vardas264           Pavarde264          3.53                
Vardas107           Pavarde107          3.53                
Vardas481           Pavarde481          3.53                
Vardas763           Pavarde763          3.53                
Vardas346           Pavarde346          3.60                
Vardas672           Pavarde672          3.60                
Vardas32            Pavarde32           3.60                
Vardas578           Pavarde578          3.60                
Vardas793           Pavarde793          3.60                
Vardas292           Pavarde292          3.60                
Vardas399           Pavarde399          3.60                
Vardas614           Pavarde614          3.60                
Vardas110           Pavarde110          3.60                
Vardas245           Pavarde245          3.60                
Vardas350           Pavarde350          3.60                
Vardas438           Pavarde438          3.60                
Vardas963           Pavarde963          3.67                
Vardas792           Pavarde792          3.67                
Vardas956           Pavarde956          3.67                
Vardas694           Pavarde694          3.73                
Vardas841           Pavarde841          3.73                
Vardas462           Pavarde462          3.73                
Vardas820           Pavarde820          3.73                
Vardas159           Pavarde159          3.73                
Vardas263           Pavarde263          3.73                
Vardas19            Pavarde19           3.73                
Vardas716           Pavarde716          3.73                
Vardas636           Pavarde636          3.73                
Vardas247           Pavarde247          3.73                
Vardas865           Pavarde865          3.73                
Vardas284           Pavarde284          3.80                
Vardas69            Pavarde69           3.80                
Vardas936           Pavarde936          3.80                
Vardas108           Pavarde108          3.80                
Vardas766           Pavarde766          3.80                
Vardas333           Pavarde333          3.80                
Vardas186           Pavarde186          3.80                
Vardas444           Pavarde444          3.80                
Vardas761           Pavarde761          3.80                
Vardas58            Pavarde58           3.87                
Vardas573           Pavarde573          3.87                
Vardas76            Pavarde76           3.87                
Vardas303           Pavarde303          3.87                
Vardas656           Pavarde656          3.87                
Vardas163           Pavarde163          3.87                
Vardas266           Pavarde266          3.87                
Vardas511           Pavarde511          3.87                
Vardas103           Pavarde103          3.87                
Vardas576           Pavarde576          3.87                
Vardas548           Pavarde548          3.87                
Vardas747           Pavarde747          3.87                
Vardas517           Pavarde517          3.93                
Vardas435           Pavarde435          3.93                
Vardas545           Pavarde545          3.93                
Vardas154           Pavarde154          3.93                
Vardas456           Pavarde456          3.93                
Vardas789           Pavarde789          3.93                
Vardas471           Pavarde471          3.93                
Vardas409           Pavarde409          3.93                
Vardas505           Pavarde505          4.00                
Vardas24            Pavarde24           4.00                
Vardas293           Pavarde293          4.00                
Vardas742           Pavarde742          4.00                
Vardas839           Pavarde839          4.00                
Vardas817           Pavarde817          4.00                
Vardas485           Pavarde485          4.00                
Vardas552           Pavarde552          4.00                
Vardas571           Pavarde571          4.00                
Vardas477           Pavarde477          4.00                
Vardas26            Pavarde26           4.07                
Vardas235           Pavarde235          4.07                
Vardas883           Pavarde883          4.07                
Vardas42            Pavarde42           4.07                
Vardas875           Pavarde875          4.07                
Vardas562           Pavarde562          4.07                
Vardas118           Pavarde118          4.07                
Vardas926           Pavarde926          4.07                
Vardas469           Pavarde469          4.07                
Vardas663           Pavarde663          4.07                
Vardas803           Pavarde803          4.07                
Vardas524           Pavarde524          4.07                
Vardas325           Pavarde325          4.13                
Vardas510           Pavarde510          4.13                
Vardas857           Pavarde857          4.13                
Vardas851           Pavarde851          4.13                
Vardas754           Pavarde754          4.13                
Vardas441           Pavarde441          4.13                
Vardas397           Pavarde397          4.13                
Vardas299           Pavarde299          4.13                
Vardas81            Pavarde81           4.13                
Vardas648           Pavarde648          4.20                
Vardas197           Pavarde197          4.20                
Vardas182           Pavarde182          4.20                
Vardas374           Pavarde374          4.20                
Vardas36            Pavarde36           4.20                
Vardas891           Pavarde891          4.20                
Vardas393           Pavarde393          4.20                
Vardas275           Pavarde275          4.20                
Vardas85            Pavarde85           4.27                
Vardas56            Pavarde56           4.27                
Vardas72            Pavarde72           4.27                
Vardas62            Pavarde62           4.27                
Vardas129           Pavarde129          4.27                
Vardas217           Pavarde217          4.27                
Vardas187           Pavarde187          4.27                
Vardas811           Pavarde811          4.27                
Vardas617           Pavarde617          4.27                
Vardas39            Pavarde39           4.33                
Vardas838           Pavarde838          4.33                
Vardas684           Pavarde684          4.33                
Vardas125           Pavarde125          4.33                
Vardas358           Pavarde358          4.33                
Vardas372           Pavarde372          4.33                
Vardas861           Pavarde861          4.33                
Vardas585           Pavarde585          4.33                
Vardas887           Pavarde887          4.33                
Vardas542           Pavarde542          4.33                
Vardas528           Pavarde528          4.33                
Vardas774           Pavarde774          4.33                
Vardas179           Pavarde179          4.40                
Vardas87            Pavarde87           4.40                
Vardas620           Pavarde620          4.40                
Vardas495           Pavarde495          4.40                
Vardas251           Pavarde251          4.40                
Vardas111           Pavarde111          4.40                
Vardas879           Pavarde879          4.40                
Vardas731           Pavarde731          4.40                
Vardas572           Pavarde572          4.40                
Vardas319           Pavarde319          4.40                
Vardas468           Pavarde468          4.40                
Vardas759           Pavarde759          4.40                
Vardas203           Pavarde203          4.47                
Vardas176           Pavarde176          4.47                
Vardas482           Pavarde482          4.47                
Vardas420           Pavarde420          4.47                
Vardas14            Pavarde14           4.47                
Vardas912           Pavarde912          4.47                
Vardas60            Pavarde60           4.47                
Vardas568           Pavarde568          4.47                
Vardas501           Pavarde501          4.47                
Vardas424           Pavarde424          4.47                
Vardas410           Pavarde410          4.47                
Vardas242           Pavarde242          4.47                
Vardas34            Pavarde34           4.47                
Vardas624           Pavarde624          4.47                
Vardas864           Pavarde864          4.47                
Vardas258           Pavarde258          4.47                
Vardas369           Pavarde369          4.47                
Vardas130           Pavarde130          4.47                
Vardas710           Pavarde710          4.47                
Vardas349           Pavarde349          4.53                
Vardas978           Pavarde978          4.53                
Vardas194           Pavarde194          4.53                
Vardas832           Pavarde832          4.53                
Vardas893           Pavarde893          4.53                
Vardas30            Pavarde30           4.53                
Vardas474           Pavarde474          4.53                
Vardas484           Pavarde484          4.53                
Vardas993           Pavarde993          4.53                
Vardas829           Pavarde829          4.53                
Vardas666           Pavarde666          4.53                
Vardas366           Pavarde366          4.53                
Vardas378           Pavarde378          4.53                
Vardas753           Pavarde753          4.53                
Vardas650           Pavarde650          4.53                
Vardas92            Pavarde92           4.53                
Vardas390           Pavarde390          4.53                
Vardas428           Pavarde428          4.60                
Vardas497           Pavarde497          4.60                
Vardas579           Pavarde579          4.60                
Vardas246           Pavarde246          4.60                
Vardas357           Pavarde357          4.60                
Vardas9             Pavarde9            4.60                
Vardas714           Pavarde714          4.60                
Vardas352           Pavarde352          4.60                
Vardas939           Pavarde939          4.60                
Vardas586           Pavarde586          4.60                
Vardas634           Pavarde634          4.67                
Vardas96            Pavarde96           4.67                
Vardas686           Pavarde686          4.67                
Vardas312           Pavarde312          4.67                
Vardas5             Pavarde5            4.67                
Vardas223           Pavarde223          4.67                
Vardas31            Pavarde31           4.67                
Vardas569           Pavarde569          4.67                
Vardas48            Pavarde48           4.67                
Vardas373           Pavarde373          4.67                
Vardas840           Pavarde840          4.67                
Vardas422           Pavarde422          4.67                
Vardas989           Pavarde989          4.73                
Vardas795           Pavarde795          4.73                
Vardas294           Pavarde294          4.73                
Vardas755           Pavarde755          4.73                
Vardas354           Pavarde354          4.73                
Vardas767           Pavarde767          4.73                
Vardas990           Pavarde990          4.73                
Vardas551           Pavarde551          4.73                
Vardas920           Pavarde920          4.80                
Vardas106           Pavarde106          4.80                
Vardas658           Pavarde658          4.80                
Vardas647           Pavarde647          4.80                
Vardas870           Pavarde870          4.80                
Vardas86            Pavarde86           4.80                
Vardas104           Pavarde104          4.80                
Vardas136           Pavarde136          4.80                
Vardas822           Pavarde822          4.80                
Vardas724           Pavarde724          4.80                
Vardas807           Pavarde807          4.80                
Vardas387           Pavarde387          4.80                
Vardas496           Pavarde496          4.80                
Vardas248           Pavarde248          4.80                
Vardas785           Pavarde785          4.80                
Vardas139           Pavarde139          4.87                
Vardas13            Pavarde13           4.87                
Vardas488           Pavarde488          4.87                
Vardas46            Pavarde46           4.87                
Vardas852           Pavarde852          4.87                
Vardas445           Pavarde445          4.87                
Vardas330           Pavarde330          4.87                
Vardas80            Pavarde80           4.87                
Vardas6             Pavarde6            4.93                
Vardas192           Pavarde192          4.93                
Vardas777           Pavarde777          4.93                
Vardas77            Pavarde77           4.93                
Vardas347           Pavarde347          4.93                
Vardas253           Pavarde253          4.93                
Vardas674           Pavarde674          4.93                
Vardas55            Pavarde55           4.93                
Vardas262           Pavarde262          4.93                
Vardas126           Pavarde126          4.93                
Vardas486           Pavarde486          4.93                
